"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Целый день","Напоминание вкл / выкл","Дата напоминания","Время напоминания","Организатор собрания","Обязательные участники","Необязательные участники","Ресурсы собрания","В это время","Важность","Категории","Место","Описание","Пометка","Расстояние","Способ оплаты","Частное"
"Информатика. 214(Б)","2019.09.30","16:00:00","2019.09.30","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(Б)","2019.10.14","16:00:00","2019.10.14","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(Б)","2019.10.28","16:00:00","2019.10.28","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(Б)","2019.11.11","16:00:00","2019.11.11","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"Информатика. 214(Б)","2019.11.25","16:00:00","2019.11.25","19:30:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Сидоров А.С","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.09.10","10:20:00","2019.09.10","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.09.17","10:20:00","2019.09.17","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.09.24","10:20:00","2019.09.24","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.10.01","10:20:00","2019.10.01","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.10.08","10:20:00","2019.10.08","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.10.15","10:20:00","2019.10.15","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.10.22","10:20:00","2019.10.22","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. Фрезер 310","2019.10.29","10:20:00","2019.10.29","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Алешин В.И","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.09.03","14:10:00","2019.09.03","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.09.10","14:10:00","2019.09.10","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.09.17","14:10:00","2019.09.17","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.09.24","14:10:00","2019.09.24","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.10.01","14:10:00","2019.10.01","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.10.08","14:10:00","2019.10.08","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.10.15","14:10:00","2019.10.15","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.10.22","14:10:00","2019.10.22","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.10.29","14:10:00","2019.10.29","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.11.05","14:10:00","2019.11.05","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.11.12","14:10:00","2019.11.12","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Русский язык и культура речи. 0209","2019.11.19","14:10:00","2019.11.19","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Трофимова Г.К","Обычный",,,"Ложь"
"Физика. 342","2019.09.03","16:00:00","2019.09.03","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.09.10","16:00:00","2019.09.10","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.09.17","16:00:00","2019.09.17","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.09.24","16:00:00","2019.09.24","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.10.01","16:00:00","2019.10.01","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.10.08","16:00:00","2019.10.08","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.10.15","16:00:00","2019.10.15","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.10.22","16:00:00","2019.10.22","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.10.29","16:00:00","2019.10.29","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.11.05","16:00:00","2019.11.05","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.11.12","16:00:00","2019.11.12","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.11.19","16:00:00","2019.11.19","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.11.26","16:00:00","2019.11.26","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Физика. 342","2019.12.03","16:00:00","2019.12.03","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Байдин А.Э","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.10.22","8:30:00","2019.10.22","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.10.29","8:30:00","2019.10.29","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.05","8:30:00","2019.11.05","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.12","8:30:00","2019.11.12","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.19","8:30:00","2019.11.19","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.26","8:30:00","2019.11.26","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.12.03","8:30:00","2019.12.03","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.12.10","8:30:00","2019.12.10","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.12.17","8:30:00","2019.12.17","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.05","10:20:00","2019.11.05","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.12","10:20:00","2019.11.12","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.19","10:20:00","2019.11.19","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.11.26","10:20:00","2019.11.26","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.12.03","10:20:00","2019.12.03","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.12.10","10:20:00","2019.12.10","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Математика. Фрезер 312","2019.12.17","10:20:00","2019.12.17","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Иванова О.К","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.09.04","12:20:00","2019.09.04","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.09.11","12:20:00","2019.09.11","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.09.18","12:20:00","2019.09.18","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.09.25","12:20:00","2019.09.25","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.10.02","12:20:00","2019.10.02","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.10.09","12:20:00","2019.10.09","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.10.16","12:20:00","2019.10.16","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.10.23","12:20:00","2019.10.23","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.10.30","12:20:00","2019.10.30","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Начертательная геометрия и инженерная графика. 0411","2019.11.06","12:20:00","2019.11.06","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Феофанов А.Н","Обычный",,,"Ложь"
"Химия. 0206","2019.09.04","14:10:00","2019.09.04","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.09.11","14:10:00","2019.09.11","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.09.18","14:10:00","2019.09.18","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.09.25","14:10:00","2019.09.25","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.10.02","14:10:00","2019.10.02","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.10.09","14:10:00","2019.10.09","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.10.16","14:10:00","2019.10.16","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.10.23","14:10:00","2019.10.23","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.10.30","14:10:00","2019.10.30","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 0206","2019.11.06","14:10:00","2019.11.06","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Проскурина Е.М","Обычный",,,"Ложь"
"История: история России. 0408","2019.09.04","16:00:00","2019.09.04","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 0408","2019.09.11","16:00:00","2019.09.11","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 0408","2019.09.18","16:00:00","2019.09.18","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 0408","2019.09.25","16:00:00","2019.09.25","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 0408","2019.10.02","16:00:00","2019.10.02","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 0408","2019.10.09","16:00:00","2019.10.09","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 0408","2019.10.16","16:00:00","2019.10.16","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: история России. 0408","2019.10.23","16:00:00","2019.10.23","17:40:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Павельева Т.Ю","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.09.04","10:20:00","2019.09.04","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.09.11","10:20:00","2019.09.11","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.09.18","10:20:00","2019.09.18","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.09.25","10:20:00","2019.09.25","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.10.02","10:20:00","2019.10.02","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.10.09","10:20:00","2019.10.09","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.10.16","10:20:00","2019.10.16","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"История: всеобщая история. 0411","2019.10.23","10:20:00","2019.10.23","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Алешин В.И","Обычный",,,"Ложь"
"Математика. 0411","2019.11.13","12:20:00","2019.11.13","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Виноградова Ю.А","Обычный",,,"Ложь"
"Математика. 0411","2019.11.20","12:20:00","2019.11.20","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Виноградова Ю.А","Обычный",,,"Ложь"
"Математика. 0411","2019.11.27","12:20:00","2019.11.27","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Виноградова Ю.А","Обычный",,,"Ложь"
"Математика. 0411","2019.12.04","12:20:00","2019.12.04","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Виноградова Ю.А","Обычный",,,"Ложь"
"Математика. 0411","2019.12.11","12:20:00","2019.12.11","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Виноградова Ю.А","Обычный",,,"Ложь"
"Математика. 0411","2019.12.18","12:20:00","2019.12.18","14:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","Виноградова Ю.А","Обычный",,,"Ложь"
"Физика. 417","2019.11.13","14:10:00","2019.11.13","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Лоскутов А.И","Обычный",,,"Ложь"
"Физика. 417","2019.11.20","14:10:00","2019.11.20","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Лоскутов А.И","Обычный",,,"Ложь"
"Физика. 417","2019.11.27","14:10:00","2019.11.27","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Лоскутов А.И","Обычный",,,"Ложь"
"Физика. 417","2019.12.04","14:10:00","2019.12.04","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Лоскутов А.И","Обычный",,,"Ложь"
"Физика. 417","2019.12.11","14:10:00","2019.12.11","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Лоскутов А.И","Обычный",,,"Ложь"
"Физика. 417","2019.12.18","14:10:00","2019.12.18","15:50:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","Лоскутов А.И","Обычный",,,"Ложь"
"Химия. 256(А)","2019.10.30","8:30:00","2019.10.30","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 256(А)","2019.11.13","8:30:00","2019.11.13","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 256(А)","2019.11.27","8:30:00","2019.11.27","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 256(Б)","2019.11.06","8:30:00","2019.11.06","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 256(Б)","2019.11.20","8:30:00","2019.11.20","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Проскурина Е.М","Обычный",,,"Ложь"
"Химия. 256(Б)","2019.12.04","8:30:00","2019.12.04","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лаба","Проскурина Е.М","Обычный",,,"Ложь"
"Прикладная физическая культура. С/3 Фрезер","2019.09.05","8:30:00","2019.09.05","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","","Обычный",,,"Ложь"
"Прикладная физическая культура. С/3 Фрезер","2019.09.05","10:20:00","2019.09.05","12:00:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Лекция","","Обычный",,,"Ложь"
"Прикладная физическая культура. С/3 Фрезер","2019.09.12","8:30:00","2019.09.12","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
"Прикладная физическая культура. С/3 Фрезер","2019.09.19","8:30:00","2019.09.19","10:10:00","Ложь","Ложь",,,,,,,"2","Низкая",,"Семинар","","Обычный",,,"Ложь"
